node,region,province,municipality,latitude,longitude,att_name,vendor,period
MUPUEPUE4051,SOUTH,PUEBLA,PUEBLA,19.082756,-98.106941,PUEPUE4051,Huawei,initial
MUPUEQUE4052,SOUTH,PUEBLA,QUECHOLAC,18.96607,-97.712383,MUPUEQUE4052,Huawei,initial
MUPUESMT4054,SOUTH,PUEBLA,SAN_MARTIN_TEXMELUCAN,19.265451,-98.409737,PUESMT4054,Huawei,initial
MUPUESOL4055,SOUTH,PUEBLA,SOLTEPEC,19.134875,-97.765428,MUPUESOL4055,Huawei,initial
MUPUETBJ4057,SOUTH,PUEBLA,TLACOTEPEC_DE_BENITO_JUAREZ,18.598808,-97.659239,MUPUETBJ4057,Huawei,initial
MUPUETCH4058,SOUTH,PUEBLA,TECAMACHALCO,18.853216,-97.776901,PUETCH4058,Huawei,initial
MUPUETLA4065,SOUTH,PUEBLA,TLAHUAPAN,19.357188,-98.531648,MUPUETLA4065,Huawei,initial
MUQTOMQS4085,PACIFIC,QUERETARO,EL_MARQUES,20.666472,-100.23861,MUQTOMQS4085,Huawei,last
MUQTOMQS4086,PACIFIC,QUERETARO,EL_MARQUES,20.629187,-100.29007,QTOMQS4086,Huawei,last
MUQTOPDE4088,PACIFIC,QUERETARO,PEDRO_ESCOBEDO,20.474813,-100.215237,MUQTOPDE4088,Huawei,initial
MUQTOSJR4109,PACIFIC,QUERETARO,SAN_JUAN_DEL_RIO-QUE,20.383816,-99.912651,QTOSJR4109,Huawei,initial
MUQTOSJR4110,PACIFIC,QUERETARO,SAN_JUAN_DEL_RIO-QUE,20.399897,-99.96788,QTOSJR4110,Huawei,initial
MUROOBEJ0594X,SOUTH,QUINTANA_ROO,BENITO_JUAREZ-ROO,21.0228,-86.813499,ROOBEJ0594,Huawei,last
MUROOBEJ0594Y,SOUTH,QUINTANA_ROO,BENITO_JUAREZ-ROO,21.0228,-86.813499,ROOBEJ0594,Huawei,initial
MUROOSOL4046,SOUTH,QUINTANA_ROO,SOLIDARIDAD,20.668591,-87.124924,ROOSOL4046,Huawei,initial
MUSINANT0445X,NORTH_WEST,SINALOA,ANGOSTURA,25.368601,-108.141998,SINANT0445,Ericsson,last
MUSINCNR0446X,NORTH_WEST,SINALOA,CONCORDIA,23.1607,-106.088997,SINCNR0446,Ericsson,last
MUSINCUL0465X,NORTH_WEST,SINALOA,CULIACAN,24.7017,-107.444,SINCUL0465,Ericsson,last
MUSINCUL0471X,NORTH_WEST,SINALOA,CULIACAN,24.8892,-107.646004,SINCUL0471,Ericsson,last
MUSINCUL0479X,NORTH_WEST,SINALOA,CULIACAN,24.501301,-107.434998,SINCUL0479,Ericsson,last
MUSINCUL0480X,NORTH_WEST,SINALOA,CULIACAN,24.4359,-107.373001,SINCUL0480,Ericsson,last
MUSINCUL0481X,NORTH_WEST,SINALOA,CULIACAN,24.3298,-107.363998,SINCUL0481,Ericsson,last
MUSINCUL0829X,NORTH_WEST,SINALOA,CULIACAN,24.7386,-107.390999,SINCUL0829,Ericsson,last
MUSINCUL0933X,NORTH_WEST,SINALOA,CULIACAN,24.83,-107.561997,SINCUL0933,Ericsson,last
MUSINCUL0934X,NORTH_WEST,SINALOA,CULIACAN,24.5896,-107.403,SINCUL0934,Ericsson,last
MUSINCUL0935X,NORTH_WEST,SINALOA,CULIACAN,24.825399,-107.532997,SINCUL0935,Ericsson,last
MUSINCUL4071,NORTH_WEST,SINALOA,CULIACAN,24.789637,-107.357674,SINCUL4071,Ericsson,initial
MUSINCUL4076,NORTH_WEST,SINALOA,CULIACAN,24.829269,-107.451645,SINCUL4076,Ericsson,initial
MUSINCUL4078,NORTH_WEST,SINALOA,CULIACAN,24.72278,-107.450363,SINCUL4078,Ericsson,initial
MUSINCUL4081,NORTH_WEST,SINALOA,CULIACAN,24.760052,-107.378372,SINCUL4081,Ericsson,initial
MUSINCUL4082,NORTH_WEST,SINALOA,CULIACAN,24.844963,-107.387581,SINCUL4082,Ericsson,initial
MUSINCUL4088,NORTH_WEST,SINALOA,CULIACAN,24.823055,-107.395836,SINCUL4088,Ericsson,initial
MUSINCUL4090,NORTH_WEST,SINALOA,CULIACAN,24.748409,-107.428093,SINCUL4090,Ericsson,initial
MUSINELO0502X,NORTH_WEST,SINALOA,ELOTA,23.7854,-106.844002,SINELO0502,Ericsson,last
MUSINESN0503X,NORTH_WEST,SINALOA,ESCUINAPA,22.833099,-105.774002,SINESN0503,Ericsson,last
MUSINESN0505X,NORTH_WEST,SINALOA,ESCUINAPA,22.837,-105.779999,SINESN0505,Ericsson,last
MUSINESN0506X,NORTH_WEST,SINALOA,ESCUINAPA,22.834101,-105.759003,SINESN0506,Ericsson,last
